City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kruisfontein,-34.0033,24.7314,78.89,44,0,10.47,ZA,1644133061
Coyhaique,-45.5752,-72.0662,49.95,87,0,0.0,CL,1644133062
Nouakchott,18.0858,-15.9785,62.53,40,0,11.05,MR,1644133062
Arraial do Cabo,-22.9661,-42.0278,75.15,90,45,22.03,BR,1644133063
Verkhoyansk,67.5447,133.385,-40.83,100,92,0.92,RU,1644133063
Camacha,33.0833,-16.3333,60.53,77,40,17.27,PT,1644132543
Saint-Pierre,-21.3393,55.4781,85.68,66,0,10.36,RE,1644133064
Narsaq,60.9167,-46.05,5.22,70,100,5.23,GL,1644133064
Chui,-33.6971,-53.4616,64.04,89,90,8.5,UY,1644133065
Marsá Maţrūḩ,31.3525,27.2453,57.56,56,0,12.75,EG,1644133065
Hermanus,-34.4187,19.2345,83.89,54,96,2.51,ZA,1644133065
São Raimundo Nonato,-9.0153,-42.6994,70.38,74,76,1.88,BR,1644133066
Ponta Delgada,37.7333,-25.6667,60.49,82,20,14.97,PT,1644132789
Turukhansk,65.8167,87.9833,-4.97,96,99,2.01,RU,1644133067
Port Alfred,-33.5906,26.891,77.88,71,9,26.71,ZA,1644133067
Punta Arenas,-53.15,-70.9167,44.71,87,40,3.44,CL,1644132855
Upernavik,72.7868,-56.1549,-4.23,96,100,4.63,GL,1644133068
Khatanga,71.9667,102.5,-20.76,97,99,7.87,RU,1644132928
Mahibadhoo,3.7833,72.9667,81.9,67,60,12.17,MV,1644133068
Busselton,-33.65,115.3333,64.74,85,100,24.32,AU,1644133069
Vila Franca do Campo,37.7167,-25.4333,60.19,86,97,17.16,PT,1644133069
Hilo,19.7297,-155.09,70.79,92,75,6.91,US,1644133070
Vila,42.0304,-8.1588,36.34,82,23,4.81,PT,1644133070
Torbay,47.6666,-52.7314,25.57,92,100,39.12,CA,1644132929
Omsukchan,62.5333,155.8,-16.08,67,9,3.36,RU,1644133071
Nikolskoye,59.7035,30.7861,28.87,94,94,7.29,RU,1644132972
Ubinskoye,55.3068,79.6802,18.18,80,96,6.13,RU,1644133072
Starkville,33.4504,-88.8184,25.59,63,0,2.86,US,1644133072
Albany,42.6001,-73.9662,7.27,76,6,1.01,US,1644133073
At-Bashi,41.1702,75.8106,19.94,72,100,2.59,KG,1644133073
Klaksvík,62.2266,-6.589,34.72,61,100,25.41,FO,1644132867
Lebu,-37.6167,-73.65,56.41,92,3,13.78,CL,1644133075
Popondetta,-8.7537,148.2534,79.45,93,100,2.71,PG,1644133075
Severo-Kuril'sk,50.6789,156.125,27.95,83,100,20.04,RU,1644133076
Sakhnovshchyna,49.1517,35.872,29.19,92,63,10.0,UA,1644133076
Tiznit Province,29.5833,-9.5,59.99,23,13,5.88,MA,1644133076
Barrow,71.2906,-156.7887,-18.38,69,100,8.05,US,1644133077
Bredasdorp,-34.5322,20.0403,82.27,73,85,5.75,ZA,1644132962
Sladkovo,55.5284,70.3385,17.24,78,100,6.89,RU,1644133078
Guerrero Negro,27.9769,-114.0611,58.44,54,0,1.52,MX,1644132859
Tuktoyaktuk,69.4541,-133.0374,-19.32,99,100,9.84,CA,1644133079
Longyearbyen,78.2186,15.6401,17.44,67,75,19.57,SJ,1644133080
Qaanaaq,77.484,-69.3632,-3.17,98,100,4.38,GL,1644133080
Cap Malheureux,-19.9842,57.6142,84.69,74,100,11.99,MU,1644133081
Yellowknife,62.456,-114.3525,-17.88,69,0,9.22,CA,1644133040
New Norfolk,-42.7826,147.0587,69.91,41,2,1.99,AU,1644133082
Dikson,73.5069,80.5464,-23.24,100,100,5.08,RU,1644133082
São Filipe,14.8961,-24.4956,72.34,69,0,8.68,CV,1644133039
Butaritari,3.0707,172.7902,82.42,76,99,16.2,KI,1644132936
Bandarbeyla,9.4942,50.8122,79.07,60,14,10.83,SO,1644133083
Ahipara,-35.1667,173.1667,71.22,97,100,6.87,NZ,1644133084
Hobart,-42.8794,147.3294,70.27,56,20,1.99,AU,1644132808
Lüderitz,-26.6481,15.1594,69.22,78,46,3.11,NA,1644133084
Tonekābon,36.8163,50.8738,48.15,91,97,1.45,IR,1644133085
Half Moon Bay,37.4636,-122.4286,54.63,73,40,4.61,US,1644133085
Carson City,39.1638,-119.7674,41.47,61,0,0.0,US,1644133086
Kapaa,22.0752,-159.319,71.92,84,75,8.05,US,1644132896
Hithadhoo,-0.6,73.0833,82.72,72,9,10.92,MV,1644133087
Clyde River,70.4692,-68.5914,-36.17,67,0,3.44,CA,1644133087
Novikovo,51.1537,37.8879,31.05,95,98,10.78,RU,1644133088
Necochea,-38.5473,-58.7368,58.03,82,100,21.45,AR,1644133088
Dubbo,-32.25,148.6167,78.93,34,40,16.11,AU,1644133089
Baharly,38.4362,57.4316,44.67,56,91,14.83,TM,1644133090
Rikitea,-23.1203,-134.9692,79.02,71,33,17.43,PF,1644132926
Cockburn Town,21.4612,-71.1419,75.67,64,0,16.62,TC,1644132864
Xiongzhou,25.1167,114.3,53.73,77,100,2.08,CN,1644133091
Ushuaia,-54.8,-68.3,44.26,70,0,5.75,AR,1644132925
Poronaysk,49.2167,143.1167,17.96,77,100,17.16,RU,1644133092
Hasaki,35.7333,140.8333,45.28,34,99,14.99,JP,1644133093
Kletskaya,49.3145,43.0584,15.08,92,100,8.34,RU,1644133094
La Paz,-16.5,-68.15,46.38,100,75,6.91,BO,1644133047
Dhārchula,29.85,80.5333,61.68,35,1,5.64,IN,1644133094
Pochutla,15.7432,-96.4661,69.82,60,7,3.27,MX,1644133095
Mar del Plata,-38.0023,-57.5575,58.08,95,75,3.0,AR,1644132965
Pevek,69.7008,170.3133,-25.55,99,32,2.59,RU,1644133095
Praia,14.9215,-23.5087,68.54,77,0,14.97,CV,1644133096
Caravelas,-17.7125,-39.2481,73.85,93,97,3.04,BR,1644133096
Souillac,-20.5167,57.5167,84.58,74,75,18.41,MU,1644133097
Linjiang,41.8069,126.9078,15.53,75,100,5.79,CN,1644133097
Dokka,60.84,10.0618,19.47,89,10,3.96,NO,1644133098
Saint George,37.1041,-113.5841,40.24,36,0,3.0,US,1644132570
